(submission),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X,x,x,x,x,x,x,x,x,(total)
3,,yes,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,yes,,,,maybe,yes,,conf,,,,,,,,,maybe,,maybe,,tot
4,yes,yes,,,,,,yes,,,,,,maybe,,yes,,,maybe,,,,,,,,,yes,,,,,maybe,yes,,,,,,,,yes,yes,,maybe,,,,maybe,,,,,,yes,maybe,,tot
5,,,,,,maybe,,,,,,,,,,,,,,,maybe,,,,,,,,,,yes,,yes,maybe,,,,,,,,maybe,maybe,,yes,,,,yes,,,,,,maybe,yes,,tot
6,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,maybe,,,,,,,,tot
7,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,maybe,,,maybe,,,,yes,maybe,,,,,,,,tot
8,,yes,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,yes,,,,,maybe,,maybe,,,,,,,yes,,maybe,,yes,,tot
9,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,,tot
10,,yes,,,,maybe,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,maybe,,maybe,,,,,,,,,maybe,,maybe,,tot
11,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,maybe,maybe,,,,,,maybe,,,,,maybe,,maybe,,,,,maybe,,,,,yes,,,tot
12,maybe,conf,,,,conf,,,,,,,,maybe,,,,,maybe,,conf,,,,,,,yes,,,,,maybe,,,,,,,,,,conf,,maybe,,,,,maybe,,,,,,conf,,tot
13,maybe,maybe,,,,maybe,,,,,,,,yes,,,,,yes,maybe,maybe,maybe,,,,,,maybe,,,,,maybe,,,,,maybe,,,,conf,maybe,,maybe,,,,yes,yes,,,,,yes,,,tot
14,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,tot
15,,,,,,maybe,,,,,,,,,,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,maybe,,maybe,,,,tot
16,,,,,,,,maybe,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,yes,,,tot
17,,maybe,,,,maybe,,,,,,,,,,conf,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,yes,,,,,maybe,,yes,,,,,,tot
18,,,,,,,,,,yes,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,tot
19,,,,,yes,,,,,,,,,,,,,,,maybe,yes,maybe,,,,,,maybe,,,,,conf,,,,,maybe,,,,conf,,,maybe,,,,yes,,,,,,yes,yes,,tot
20,,,,,,,,,,yes,maybe,,,,,,,,,,,,,,,,,,,,,maybe,conf,,,,,,,,,,,,maybe,,,,conf,,,,conf,,,,,tot
21,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,maybe,conf,,,,,,,,,,maybe,,maybe,,,,conf,maybe,,,conf,,,,,tot
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,maybe,,tot
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,maybe,,,,yes,,,,yes,,,,,tot
25,,,,,yes,,,conf,,,,,,,,maybe,,,,yes,conf,,,,,,,,conf,yes,yes,maybe,yes,yes,,,,,,,,,yes,,maybe,,,,,maybe,,,,maybe,,,,tot
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,yes,,,,,,tot
27,,maybe,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,maybe,,,,,,,,,,,maybe,,maybe,,,,,,,,,,,,,tot
29,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,tot
30,,maybe,,,,,,,,yes,maybe,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,maybe,,,,,,,,,,,yes,,,,yes,,,,,tot
31,maybe,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,maybe,maybe,,maybe,,,,,,,,,yes,,maybe,,tot
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,maybe,,,,,,,,,,,,,,,tot
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,yes,,,,tot
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,maybe,,maybe,,,,tot
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
36,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,conf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
37,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,maybe,,,,,,,,,maybe,,,,tot
39,,maybe,,,,,,,,,,,yes,,,maybe,,,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,maybe,,,,,,,,,,,,maybe,,,tot
40,yes,maybe,,,,,,,,,maybe,,yes,maybe,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,,,maybe,,,yes,,maybe,,,tot
41,,,,,,,,maybe,,,,,,maybe,,,,,,,,,,,,,,,,,,maybe,,,,,,maybe,,,,,maybe,,,,,,yes,maybe,,,yes,,maybe,,,tot
42,,yes,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,,,tot
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
44,,,,,,,,,,,,,yes,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,maybe,,,tot
45,,yes,,,,maybe,,maybe,,,,,,,,maybe,,,,,,,,,,,,,,,maybe,,yes,yes,,,,,,,,maybe,yes,,,,,,,,,maybe,,,,,,tot
46,,,,,,,,,,,,,,,,yes,,,conf,,,,,,,,,,,,,,conf,,,,,,,,,,maybe,,maybe,,,,,,,maybe,,,,,,tot
47,yes,maybe,,,yes,,,,,,,,,yes,,maybe,,,maybe,maybe,conf,,,,,,,,,,,,conf,,,,,maybe,,,,,,,,,,,,yes,,,yes,,yes,,,tot
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,yes,,,,,tot
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,maybe,,,,,,,,,,,,,,,tot
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,maybe,,,,yes,,,,,tot
